DATE,USSLIND
2006-01-01,1.77
2006-02-01,1.55
2006-03-01,1.50
2006-04-01,1.33
2006-05-01,0.98
2006-06-01,1.06
2006-07-01,0.67
2006-08-01,0.97
2006-09-01,0.86
2006-10-01,1.04
2006-11-01,0.78
2006-12-01,0.93
2007-01-01,1.19
2007-02-01,1.02
2007-03-01,1.28
2007-04-01,1.01
2007-05-01,1.20
2007-06-01,0.70
2007-07-01,0.52
2007-08-01,0.55
2007-09-01,0.43
2007-10-01,0.61
2007-11-01,0.42
2007-12-01,0.23
2008-01-01,0.39
2008-02-01,0.31
2008-03-01,0.18
2008-04-01,0.19
2008-05-01,0.00
2008-06-01,-0.12
2008-07-01,-0.43
2008-08-01,-0.82
2008-09-01,-0.64
2008-10-01,-1.18
2008-11-01,-1.76
2008-12-01,-1.92
2009-01-01,-2.37
2009-02-01,-2.33
2009-03-01,-2.65
2009-04-01,-2.19
2009-05-01,-1.30
2009-06-01,-0.78
2009-07-01,-0.24
2009-08-01,-0.10
2009-09-01,0.26
2009-10-01,0.11
2009-11-01,0.41
2009-12-01,0.57
2010-01-01,0.48
2010-02-01,0.69
2010-03-01,0.99
2010-04-01,1.05
2010-05-01,1.33
2010-06-01,1.34
2010-07-01,1.30
2010-08-01,0.81
2010-09-01,0.46
2010-10-01,0.74
2010-11-01,1.31
2010-12-01,1.46
2011-01-01,1.40
2011-02-01,1.46
2011-03-01,1.61
2011-04-01,1.48
2011-05-01,1.24
2011-06-01,1.16
2011-07-01,1.25
2011-08-01,1.54
2011-09-01,1.30
2011-10-01,1.48
2011-11-01,1.73
2011-12-01,1.68
2012-01-01,1.89
2012-02-01,1.84
2012-03-01,1.84
2012-04-01,1.70
2012-05-01,1.62
2012-06-01,1.39
2012-07-01,1.37
2012-08-01,1.34
2012-09-01,1.56
2012-10-01,1.78
2012-11-01,1.33
2012-12-01,1.51
2013-01-01,1.60
2013-02-01,1.94
2013-03-01,1.71
2013-04-01,1.60
2013-05-01,1.57
2013-06-01,1.47
2013-07-01,1.47
2013-08-01,1.64
2013-09-01,1.75
2013-10-01,1.40
2013-11-01,1.55
2013-12-01,1.47
2014-01-01,1.80
2014-02-01,1.39
2014-03-01,1.47
2014-04-01,1.71
2014-05-01,1.83
2014-06-01,1.96
2014-07-01,1.87
2014-08-01,1.64
2014-09-01,1.88
2014-10-01,2.00
2014-11-01,1.74
2014-12-01,1.98
2015-01-01,1.64
2015-02-01,1.62
2015-03-01,1.59
2015-04-01,1.67
2015-05-01,1.90
2015-06-01,1.71
2015-07-01,1.79
2015-08-01,1.74
2015-09-01,1.72
2015-10-01,1.55
2015-11-01,1.58
2015-12-01,1.60
2016-01-01,1.41
2016-02-01,1.68
2016-03-01,1.55
2016-04-01,1.52
2016-05-01,1.39
2016-06-01,1.40
2016-07-01,1.37
2016-08-01,1.53
2016-09-01,1.37
2016-10-01,1.28
2016-11-01,1.75
2016-12-01,1.49
2017-01-01,1.58
2017-02-01,1.33
2017-03-01,1.49
2017-04-01,1.48
2017-05-01,1.39
2017-06-01,1.44
2017-07-01,1.24
2017-08-01,1.30
2017-09-01,1.09
2017-10-01,1.53
2017-11-01,1.42
2017-12-01,1.40
2018-01-01,1.53
2018-02-01,1.49
2018-03-01,1.48
2018-04-01,1.53
2018-05-01,1.50
2018-06-01,1.47
2018-07-01,1.17
