DATE,DGS1,DGS2,DGS5,DGS10
4/9/14,0.1,0.37,1.65,4.01
4/10/14,0.09,0.37,1.59,4.02
4/11/14,0.09,0.37,1.58,4.03
4/14/14,0.1,0.37,1.61,4.04
4/15/14,0.11,0.39,1.63,4.03
4/16/14,0.11,0.39,1.67,4
4/17/14,0.11,0.43,1.75,4.01
4/18/14,.,.,.,4.01
4/21/14,0.11,0.42,1.74,4.02
4/22/14,0.11,0.45,1.76,4.01
4/23/14,0.11,0.43,1.73,3.99
4/24/14,0.1,0.43,1.74,3.99
4/25/14,0.11,0.43,1.72,3.99
4/28/14,0.1,0.44,1.73,3.98
4/29/14,0.11,0.44,1.74,3.98
4/30/14,0.11,0.42,1.69,3.96
5/1/14,0.1,0.41,1.66,3.96
5/2/14,0.1,0.42,1.67,3.94
5/5/14,0.11,0.43,1.68,3.94
5/6/14,0.1,0.43,1.68,3.95
5/7/14,0.1,0.41,1.65,3.95
5/8/14,0.1,0.4,1.63,3.95
5/9/14,0.1,0.4,1.63,3.95
5/12/14,0.09,0.41,1.67,3.96
5/13/14,0.1,0.39,1.62,3.96
5/14/14,0.1,0.39,1.57,3.95
5/15/14,0.09,0.38,1.55,3.96
5/16/14,0.09,0.38,1.56,.
5/19/14,0.09,0.36,1.56,3.96
5/20/14,0.09,0.35,1.53,3.97
5/21/14,0.09,0.37,1.55,3.99
5/22/14,0.09,0.37,1.57,4.01
5/23/14,0.1,0.37,1.55,4
5/26/14,.,.,.,4
5/27/14,0.09,0.39,1.56,4
5/28/14,0.1,0.37,1.5,3.99
5/29/14,0.1,0.37,1.52,3.99
5/30/14,0.1,0.37,1.54,3.99
6/2/14,0.1,0.39,1.6,3.98
6/3/14,0.1,0.41,1.65,3.99
6/4/14,0.1,0.41,1.65,3.98
6/5/14,0.1,0.4,1.63,3.98
6/6/14,0.11,0.41,1.66,3.97
6/9/14,0.11,0.43,1.69,3.96
6/10/14,0.11,0.45,1.71,3.95
6/11/14,0.11,0.44,1.7,3.95
6/12/14,0.1,0.42,1.66,3.94
6/13/14,0.11,0.45,1.7,3.93
6/16/14,0.11,0.49,1.71,3.92
6/17/14,0.11,0.51,1.77,3.9
6/18/14,0.1,0.48,1.71,3.9
6/19/14,0.09,0.48,1.71,3.92
6/20/14,0.09,0.5,1.71,3.93
6/23/14,0.1,0.48,1.72,3.95
6/24/14,0.12,0.49,1.7,3.93
6/25/14,0.11,0.48,1.68,3.94
6/26/14,0.11,0.46,1.64,.
6/27/14,0.1,0.45,1.64,3.94
6/30/14,0.11,0.47,1.62,3.94
7/1/14,0.11,0.47,1.66,3.94
7/2/14,0.12,0.49,1.71,3.92
7/3/14,0.11,0.52,1.74,3.88
7/4/14,.,.,.,3.91
7/7/14,0.12,0.52,1.74,3.94
7/8/14,0.11,0.51,1.7,3.94
7/9/14,0.11,0.51,1.68,3.94
7/10/14,0.1,0.46,1.66,3.93
7/11/14,0.11,0.48,1.65,3.92
7/14/14,0.11,0.48,1.68,3.92
7/15/14,0.11,0.49,1.7,3.92
7/16/14,0.11,0.5,1.71,3.92
7/17/14,0.1,0.47,1.65,3.91
7/18/14,0.1,0.51,1.69,3.91
7/21/14,0.11,0.51,1.7,.
7/22/14,0.11,0.49,1.68,3.91
7/23/14,0.11,0.5,1.67,3.9
7/24/14,0.11,0.53,1.72,3.89
7/25/14,0.11,0.53,1.69,.
7/28/14,0.11,0.54,1.73,3.9
7/29/14,0.12,0.54,1.7,3.91
7/30/14,0.13,0.56,1.77,3.91
7/31/14,0.12,0.53,1.76,3.93
8/1/14,0.13,0.47,1.67,3.93
8/4/14,0.12,0.47,1.66,3.93
8/5/14,0.12,0.47,1.66,3.92
8/6/14,0.11,0.48,1.66,.
8/7/14,0.11,0.44,1.6,3.92
8/8/14,0.1,0.45,1.62,3.93
8/11/14,0.1,0.47,1.62,3.92
8/12/14,0.1,0.45,1.63,3.92
8/13/14,0.1,0.43,1.59,3.92
8/14/14,0.1,0.42,1.58,3.92
8/15/14,0.09,0.42,1.55,3.93
8/18/14,0.1,0.44,1.58,3.94
8/19/14,0.11,0.46,1.59,3.93
8/20/14,0.12,0.49,1.65,3.92
8/21/14,0.1,0.49,1.64,3.91
8/22/14,0.1,0.53,1.68,3.9
8/25/14,0.11,0.53,1.69,3.89
8/26/14,0.12,0.52,1.68,3.88
8/27/14,0.11,0.51,1.65,3.88
8/28/14,0.11,0.5,1.63,3.87
8/29/14,0.09,0.48,1.63,3.85
9/1/14,.,.,.,3.83
9/2/14,0.1,0.53,1.69,3.84
9/3/14,0.11,0.52,1.69,3.83
9/4/14,0.1,0.54,1.71,3.81
9/5/14,0.1,0.52,1.69,3.79
9/8/14,0.1,0.54,1.72,.
9/9/14,0.11,0.56,1.76,3.79
9/10/14,0.11,0.58,1.79,3.81
9/11/14,0.11,0.58,1.79,3.84
9/12/14,0.11,0.58,1.83,3.85
9/15/14,0.11,0.58,1.8,.
9/16/14,0.13,0.55,1.78,3.82
9/17/14,0.12,0.59,1.82,3.81
9/18/14,0.12,0.59,1.85,3.84
9/19/14,0.11,0.59,1.83,3.83
9/22/14,0.1,0.58,1.8,3.81
9/23/14,0.1,0.57,1.78,3.82
9/24/14,0.11,0.59,1.82,3.81
9/25/14,0.1,0.56,1.75,3.8
9/26/14,0.11,0.59,1.8,3.81
9/29/14,0.11,0.58,1.77,3.8
9/30/14,0.13,0.58,1.78,3.8
10/1/14,0.1,0.53,1.69,3.82
10/2/14,0.1,0.53,1.7,3.84
10/3/14,0.11,0.57,1.73,3.85
10/6/14,0.11,0.54,1.7,3.86
10/7/14,0.1,0.52,1.64,3.86
10/8/14,0.1,0.46,1.57,3.86
10/9/14,0.1,0.46,1.58,3.85
10/10/14,0.1,0.45,1.55,3.86
10/13/14,.,.,.,3.86
10/14/14,0.09,0.39,1.45,3.86
10/15/14,0.1,0.34,1.37,3.87
10/16/14,0.1,0.35,1.39,3.88
10/17/14,0.11,0.39,1.44,3.89
10/20/14,0.1,0.37,1.41,3.9
10/21/14,0.1,0.38,1.44,3.91
10/22/14,0.11,0.41,1.46,3.91
10/23/14,0.11,0.41,1.52,3.91
10/24/14,0.11,0.41,1.52,3.92
10/27/14,0.11,0.41,1.51,.
10/28/14,0.11,0.42,1.53,3.92
10/29/14,0.11,0.48,1.61,3.91
10/30/14,0.11,0.48,1.58,3.91
10/31/14,0.11,0.5,1.62,3.91
11/3/14,0.12,0.52,1.63,3.93
11/4/14,0.11,0.52,1.63,3.94
