DATE,Crude_Oil_Price
9/11/13,107.65
9/12/13,108.72
9/13/13,108.31
9/16/13,106.54
9/17/13,105.36
9/18/13,108.23
9/19/13,106.26
9/20/13,104.7
9/23/13,103.62
9/24/13,103.22
9/25/13,102.68
9/26/13,103.1
9/27/13,102.86
9/30/13,102.36
10/1/13,102.09
10/2/13,104.15
10/3/13,103.29
10/4/13,103.83
10/7/13,103.07
10/8/13,103.54
10/9/13,101.63
10/10/13,103.08
10/11/13,102.17
10/14/13,102.46
10/15/13,101.15
10/16/13,102.34
10/17/13,100.72
10/18/13,100.87
10/21/13,99.28
10/22/13,97.63
10/23/13,96.9
10/24/13,96.65
10/25/13,97.4
10/28/13,98.74
10/29/13,98.29
10/30/13,96.81
10/31/13,96.29
11/1/13,94.56
11/4/13,94.58
11/5/13,93.4
11/6/13,94.74
11/7/13,94.25
11/8/13,94.56
11/11/13,95.13
11/12/13,93.12
11/13/13,93.91
11/14/13,93.76
11/15/13,93.8
11/18/13,93.03
11/19/13,93.35
11/20/13,93.34
11/21/13,95.35
11/22/13,94.53
11/25/13,93.86
11/26/13,93.41
11/27/13,92.05
11/28/13,.
11/29/13,92.55
12/2/13,93.61
12/3/13,95.83
12/4/13,96.97
12/5/13,97.14
12/6/13,97.48
12/9/13,97.1
12/10/13,98.32
12/11/13,97.25
12/12/13,97.21
12/13/13,96.27
12/16/13,97.18
12/17/13,96.99
12/18/13,97.59
12/19/13,98.4
12/20/13,99.11
12/23/13,98.62
12/24/13,98.87
12/25/13,.
12/26/13,99.18
12/27/13,99.94
12/30/13,98.9
12/31/13,98.17
1/1/14,.
1/2/14,95.14
1/3/14,93.66
1/6/14,93.12
1/7/14,93.31
1/8/14,91.9
1/9/14,91.36
1/10/14,92.39
1/13/14,91.45
1/14/14,92.15
1/15/14,93.78
1/16/14,93.54
1/17/14,93.96
1/20/14,.
1/21/14,94.51
1/22/14,96.35
1/23/14,97.23
1/24/14,96.66
1/27/14,95.82
1/28/14,97.49
1/29/14,97.34
1/30/14,98.25
1/31/14,97.55
2/3/14,96.44
2/4/14,97.24
2/5/14,97.4
2/6/14,97.84
2/7/14,99.98
2/10/14,100.12
2/11/14,99.96
2/12/14,100.38
2/13/14,100.27
2/14/14,100.31
2/17/14,.
2/18/14,102.54
2/19/14,103.46
2/20/14,103.2
2/21/14,102.53
2/24/14,103.17
2/25/14,102.2
2/26/14,102.93
2/27/14,102.68
2/28/14,102.88
3/3/14,105.34
3/4/14,103.64
3/5/14,101.75
3/6/14,101.82
3/7/14,102.82
3/10/14,101.39
3/11/14,100.29
3/12/14,98.29
3/13/14,98.57
3/14/14,99.23
3/17/14,98.43
3/18/14,100.08
3/19/14,100.71
3/20/14,99.68
3/21/14,99.97
3/24/14,100.05
3/25/14,99.66
3/26/14,100.61
3/27/14,101.25
3/28/14,101.73
3/31/14,101.57
4/1/14,99.69
4/2/14,99.6
4/3/14,100.29
4/4/14,101.16
4/7/14,100.43
4/8/14,102.57
4/9/14,103.55
4/10/14,103.37
4/11/14,103.68
4/14/14,104.05
4/15/14,103.7
4/16/14,103.71
4/17/14,104.33
4/18/14,.
4/21/14,104.35
4/22/14,101.69
4/23/14,101.47
4/24/14,102.2
4/25/14,100.85
4/28/14,101.13
4/29/14,101.56
4/30/14,100.07
5/1/14,99.69
5/2/14,100.09
5/5/14,99.74
5/6/14,99.81
5/7/14,101.06
5/8/14,100.52
5/9/14,100.32
5/12/14,100.89
5/13/14,102.01
5/14/14,102.63
5/15/14,101.74
5/16/14,102.31
5/19/14,102.95
5/20/14,102.8
5/21/14,104.31
5/22/14,104.03
5/23/14,105.01
5/26/14,.
5/27/14,104.78
5/28/14,103.37
5/29/14,104.26
5/30/14,103.4
6/2/14,103.07
6/3/14,103.34
6/4/14,103.27
6/5/14,103.17
6/6/14,103.32
6/9/14,105.09
6/10/14,105.02
6/11/14,105.04
6/12/14,107.2
6/13/14,107.49
6/16/14,107.52
6/17/14,106.95
6/18/14,106.64
6/19/14,107.08
6/20/14,107.95
6/23/14,106.83
6/24/14,106.64
6/25/14,107.04
6/26/14,106.49
6/27/14,106.46
6/30/14,106.07
7/1/14,106.06
7/2/14,105.18
7/3/14,104.76
7/4/14,.
7/7/14,104.19
7/8/14,104.06
7/9/14,102.93
7/10/14,103.61
7/11/14,101.48
7/14/14,101.73
7/15/14,100.56
7/16/14,101.88
7/17/14,103.84
7/18/14,103.83
7/21/14,105.34
7/22/14,104.59
7/23/14,103.81
7/24/14,102.76
7/25/14,105.23
7/28/14,105.68
7/29/14,104.91
7/30/14,104.29
7/31/14,98.23
8/1/14,97.86
8/4/14,98.26
8/5/14,97.34
8/6/14,96.93
8/7/14,97.34
8/8/14,97.61
8/11/14,98.09
8/12/14,97.36
8/13/14,97.57
8/14/14,95.54
8/15/14,97.3
8/18/14,96.44
8/19/14,94.35
8/20/14,96.4
8/21/14,93.97
8/22/14,93.61
8/25/14,95.39
8/26/14,95.78
8/27/14,95.82
8/28/14,96.44
8/29/14,97.86
9/1/14,.
9/2/14,92.92
9/3/14,95.5
9/4/14,94.51
9/5/14,93.32
9/8/14,92.64
9/9/14,92.73
9/10/14,91.71
9/11/14,92.89
9/12/14,92.18
9/15/14,92.86
9/16/14,94.91
9/17/14,94.33
9/18/14,93.07
9/19/14,92.43
9/22/14,91.46
9/23/14,91.55
9/24/14,93.6
9/25/14,93.59
9/26/14,95.55
9/29/14,94.53
9/30/14,91.17
10/1/14,90.74
10/2/14,91.02
10/3/14,89.76
10/6/14,90.33
10/7/14,88.89
10/8/14,87.29
10/9/14,85.76
10/10/14,85.87
10/13/14,85.73
10/14/14,81.72
10/15/14,81.82
10/16/14,82.33
10/17/14,82.8
10/20/14,82.76
10/21/14,83.25
10/22/14,80.52
10/23/14,82.81
10/24/14,81.27
10/27/14,81.26
10/28/14,81.36
10/29/14,82.25
10/30/14,81.06
10/31/14,80.53
11/3/14,78.77
11/4/14,77.15
11/5/14,78.71
11/6/14,77.87
11/7/14,78.71
11/10/14,77.43
11/11/14,77.85
11/12/14,77.16
11/13/14,74.13
11/14/14,75.91
11/17/14,75.64
11/18/14,74.55
11/19/14,74.55
11/20/14,75.63
11/21/14,76.52
11/24/14,75.74
11/25/14,74.04
11/26/14,73.7
11/27/14,.
11/28/14,65.94
12/1/14,68.98
12/2/14,66.99
12/3/14,67.3
12/4/14,66.73
12/5/14,65.89
12/8/14,63.13
12/9/14,63.74
12/10/14,60.99
12/11/14,60.01
12/12/14,57.81
12/15/14,55.96
12/16/14,55.97
12/17/14,56.43
12/18/14,54.18
12/19/14,56.91
12/22/14,55.25
12/23/14,56.78
12/24/14,55.7
12/25/14,.
12/26/14,54.59
12/29/14,53.46
12/30/14,54.14
12/31/14,53.45
1/1/15,.
1/2/15,52.72
1/5/15,50.05
1/6/15,47.98
1/7/15,48.69
1/8/15,48.8
1/9/15,48.35
1/12/15,46.06
1/13/15,45.92
1/14/15,48.49
1/15/15,46.37
1/16/15,48.49
1/19/15,.
1/20/15,46.79
1/21/15,47.85
1/22/15,45.93
1/23/15,45.26
1/26/15,44.8
1/27/15,45.84
1/28/15,44.08
1/29/15,44.12
1/30/15,47.79
2/2/15,49.25
2/3/15,53.04
2/4/15,48.45
2/5/15,50.48
2/6/15,51.66
2/9/15,52.99
2/10/15,50.06
2/11/15,48.8
2/12/15,51.17
2/13/15,52.66
2/16/15,.
2/17/15,53.56
2/18/15,52.13
2/19/15,51.12
2/20/15,49.95
2/23/15,49.56
2/24/15,48.48
2/25/15,50.25
2/26/15,47.65
2/27/15,49.84
3/2/15,49.59
3/3/15,50.43
3/4/15,51.53
3/5/15,50.76
3/6/15,49.61
3/9/15,49.95
3/10/15,48.42
3/11/15,48.06
3/12/15,47.12
3/13/15,44.88
3/16/15,43.93
3/17/15,43.39
3/18/15,44.63
3/19/15,44.02
3/20/15,46
3/23/15,47.4
3/24/15,47.03
3/25/15,48.75
3/26/15,51.41
3/27/15,48.83
3/30/15,48.66
3/31/15,47.72
4/1/15,50.12
4/2/15,49.13
4/3/15,.
4/6/15,52.08
4/7/15,53.95
4/8/15,50.44
4/9/15,50.79
4/10/15,51.63
4/13/15,51.95
4/14/15,53.3
4/15/15,56.25
4/16/15,56.69
4/17/15,55.71
4/20/15,56.37
4/21/15,55.58
4/22/15,56.17
4/23/15,56.59
4/24/15,55.98
4/27/15,55.56
4/28/15,57.05
4/29/15,58.55
4/30/15,59.62
5/1/15,59.1
5/4/15,58.92
5/5/15,60.38
5/6/15,60.93
5/7/15,58.99
5/8/15,59.41
5/11/15,59.23
5/12/15,60.72
5/13/15,60.5
5/14/15,59.89
5/15/15,59.73
5/18/15,59.44
5/19/15,57.3
5/20/15,58.96
5/21/15,60.18
5/22/15,58.88
5/25/15,.
5/26/15,57.29
5/27/15,57.51
