DATE,MVPHGFD027MNFRBDAL
1963-01-01,216.2
1963-02-01,216.5
1963-03-01,214.3
1963-04-01,214.8
1963-05-01,213.8
1963-06-01,212.4
1963-07-01,211.8
1963-08-01,211.6
1963-09-01,212.5
1963-10-01,212.2
1963-11-01,212.6
1963-12-01,213.2
1964-01-01,214.8
1964-02-01,214.7
1964-03-01,212.8
1964-04-01,213.6
1964-05-01,213.6
1964-06-01,212.0
1964-07-01,212.4
1964-08-01,213.3
1964-09-01,214.5
1964-10-01,215.4
1964-11-01,216.1
1964-12-01,216.1
1965-01-01,218.0
1965-02-01,218.1
1965-03-01,215.5
1965-04-01,215.4
1965-05-01,213.5
1965-06-01,210.8
1965-07-01,210.8
1965-08-01,209.6
1965-09-01,208.1
1965-10-01,211.2
1965-11-01,212.2
1965-12-01,210.4
1966-01-01,213.2
1966-02-01,211.8
1966-03-01,210.9
1966-04-01,210.3
1966-05-01,207.9
1966-06-01,201.8
1966-07-01,200.9
1966-08-01,201.1
1966-09-01,202.9
1966-10-01,206.9
1966-11-01,207.2
1966-12-01,209.7
1967-01-01,211.9
1967-02-01,209.7
1967-03-01,210.9
1967-04-01,206.1
1967-05-01,204.8
1967-06-01,195.0
1967-07-01,200.3
1967-08-01,203.4
1967-09-01,203.8
1967-10-01,206.2
1967-11-01,208.6
1967-12-01,208.9
1968-01-01,214.0
1968-02-01,216.7
1968-03-01,213.5
1968-04-01,210.2
1968-05-01,213.0
1968-06-01,207.1
1968-07-01,212.9
1968-08-01,213.9
1968-09-01,214.6
1968-10-01,216.6
1968-11-01,214.8
1968-12-01,209.9
1969-01-01,217.8
1969-02-01,214.9
1969-03-01,215.8
1969-04-01,215.2
1969-05-01,210.4
1969-06-01,200.2
1969-07-01,203.3
1969-08-01,204.2
1969-09-01,202.6
1969-10-01,207.3
1969-11-01,207.1
1969-12-01,204.1
1970-01-01,205.5
1970-02-01,209.5
1970-03-01,212.5
1970-04-01,204.0
1970-05-01,204.7
1970-06-01,202.7
1970-07-01,208.8
1970-08-01,213.5
1970-09-01,211.6
1970-10-01,213.7
1970-11-01,220.5
1970-12-01,223.0
1971-01-01,225.3
1971-02-01,227.1
1971-03-01,227.9
1971-04-01,224.1
1971-05-01,226.3
1971-06-01,222.2
1971-07-01,225.3
1971-08-01,234.8
1971-09-01,232.9
1971-10-01,237.0
1971-11-01,238.0
1971-12-01,244.7
1972-01-01,245.0
1972-02-01,246.8
1972-03-01,247.5
1972-04-01,246.1
1972-05-01,245.5
1972-06-01,239.7
1972-07-01,245.1
1972-08-01,244.0
1972-09-01,245.6
1972-10-01,249.1
1972-11-01,254.4
1972-12-01,258.0
1973-01-01,255.8
1973-02-01,257.8
1973-03-01,257.8
1973-04-01,255.1
1973-05-01,253.9
1973-06-01,250.3
1973-07-01,243.1
1973-08-01,246.3
1973-09-01,249.3
1973-10-01,250.4
1973-11-01,252.1
1973-12-01,253.4
1974-01-01,252.7
1974-02-01,252.3
1974-03-01,252.5
1974-04-01,247.3
1974-05-01,247.3
1974-06-01,243.8
1974-07-01,246.8
1974-08-01,245.2
1974-09-01,249.0
1974-10-01,252.0
1974-11-01,256.5
1974-12-01,263.3
1975-01-01,267.7
1975-02-01,274.6
1975-03-01,283.4
1975-04-01,283.6
1975-05-01,295.5
1975-06-01,296.9
1975-07-01,305.6
1975-08-01,311.7
1975-09-01,318.5
1975-10-01,329.9
1975-11-01,336.8
1975-12-01,346.4
1976-01-01,351.3
1976-02-01,360.7
1976-03-01,369.3
1976-04-01,367.5
1976-05-01,370.3
1976-06-01,372.9
1976-07-01,382.2
1976-08-01,389.6
1976-09-01,391.1
1976-10-01,397.4
1976-11-01,412.1
1976-12-01,413.8
1977-01-01,414.0
1977-02-01,421.3
1977-03-01,426.9
1977-04-01,424.2
1977-05-01,423.7
1977-06-01,420.8
1977-07-01,423.7
1977-08-01,434.0
1977-09-01,435.0
1977-10-01,444.4
1977-11-01,453.5
1977-12-01,454.1
1978-01-01,464.3
1978-02-01,467.8
1978-03-01,472.3
1978-04-01,468.3
1978-05-01,468.1
1978-06-01,462.9
1978-07-01,468.4
1978-08-01,475.8
1978-09-01,473.6
1978-10-01,475.5
1978-11-01,484.3
1978-12-01,485.3
1979-01-01,502.7
1979-02-01,498.4
1979-03-01,499.4
1979-04-01,496.7
1979-05-01,503.6
1979-06-01,502.7
1979-07-01,503.6
1979-08-01,502.1
1979-09-01,501.7
1979-10-01,491.2
1979-11-01,499.4
1979-12-01,511.1
1980-01-01,510.4
1980-02-01,497.5
1980-03-01,509.6
1980-04-01,539.2
1980-05-01,547.3
1980-06-01,545.1
1980-07-01,552.3
1980-08-01,550.0
1980-09-01,551.1
1980-10-01,547.9
1980-11-01,554.0
1980-12-01,575.9
1981-01-01,581.6
1981-02-01,587.7
1981-03-01,609.2
1981-04-01,593.2
1981-05-01,600.4
1981-06-01,600.1
1981-07-01,591.0
1981-08-01,588.8
1981-09-01,598.1
1981-10-01,623.2
1981-11-01,655.6
1981-12-01,650.2
1982-01-01,659.6
1982-02-01,675.0
1982-03-01,688.3
1982-04-01,687.5
1982-05-01,698.3
1982-06-01,695.2
1982-07-01,716.2
1982-08-01,751.0
1982-09-01,784.0
1982-10-01,808.6
1982-11-01,827.0
1982-12-01,859.7
1983-01-01,866.5
1983-02-01,889.6
1983-03-01,912.1
1983-04-01,918.6
1983-05-01,924.2
1983-06-01,945.3
1983-07-01,938.7
1983-08-01,955.2
1983-09-01,973.1
1983-10-01,990.6
1983-11-01,997.4
1983-12-01,1005.0
1984-01-01,1029.2
1984-02-01,1053.6
1984-03-01,1041.6
1984-04-01,1041.1
1984-05-01,1033.7
1984-06-01,1040.9
1984-07-01,1085.8
1984-08-01,1110.7
1984-09-01,1122.2
1984-10-01,1170.7
1984-11-01,1186.8
1984-12-01,1211.6
1985-01-01,1239.4
1985-02-01,1227.4
1985-03-01,1245.9
1985-04-01,1259.8
1985-05-01,1317.6
1985-06-01,1327.2
1985-07-01,1341.4
1985-08-01,1361.9
1985-09-01,1366.3
1985-10-01,1386.7
1985-11-01,1444.9
1985-12-01,1486.8
1986-01-01,1489.1
1986-02-01,1543.3
1986-03-01,1586.2
1986-04-01,1598.6
1986-05-01,1584.5
1986-06-01,1626.5
1986-07-01,1640.0
1986-08-01,1684.7
1986-09-01,1667.1
1986-10-01,1686.3
1986-11-01,1726.7
1986-12-01,1721.4
1987-01-01,1743.4
1987-02-01,1768.3
1987-03-01,1756.0
1987-04-01,1701.8
1987-05-01,1713.6
1987-06-01,1722.9
1987-07-01,1709.9
1987-08-01,1727.6
1987-09-01,1682.6
1987-10-01,1742.2
1987-11-01,1761.3
1987-12-01,1771.5
1988-01-01,1814.7
1988-02-01,1841.2
1988-03-01,1833.1
1988-04-01,1801.2
1988-05-01,1797.9
1988-06-01,1821.8
1988-07-01,1812.3
1988-08-01,1825.2
1988-09-01,1850.8
1988-10-01,1878.2
1988-11-01,1861.2
1988-12-01,1866.3
1989-01-01,1874.4
1989-02-01,1886.4
1989-03-01,1900.0
1989-04-01,1897.7
1989-05-01,1952.7
1989-06-01,1984.0
1989-07-01,2014.7
1989-08-01,2016.0
1989-09-01,2010.7
1989-10-01,2077.7
1989-11-01,2098.7
1989-12-01,2102.7
1990-01-01,2094.9
1990-02-01,2087.3
1990-03-01,2138.2
1990-04-01,2097.9
1990-05-01,2148.9
1990-06-01,2183.1
1990-07-01,2208.1
1990-08-01,2221.3
1990-09-01,2225.2
