DATE,CES9091000001
1958-06-01,2297.0
1958-07-01,2298.0
1958-08-01,2301.0
1958-09-01,2306.0
1958-10-01,2311.0
1958-11-01,2297.0
1958-12-01,2356.0
1959-01-01,2339.0
1959-02-01,2336.0
1959-03-01,2336.0
1959-04-01,2330.0
1959-05-01,2331.0
1959-06-01,2334.0
1959-07-01,2333.0
1959-08-01,2329.0
1959-09-01,2333.0
1959-10-01,2342.0
1959-11-01,2353.0
1959-12-01,2407.0
1960-01-01,2333.0
1960-02-01,2334.0
1960-03-01,2523.0
1960-04-01,2511.0
1960-05-01,2387.0
1960-06-01,2353.0
1960-07-01,2346.0
1960-08-01,2349.0
1960-09-01,2351.0
1960-10-01,2351.0
1960-11-01,2340.0
1960-12-01,2403.0
1961-01-01,2356.0
1961-02-01,2360.0
1961-03-01,2366.0
1961-04-01,2367.0
1961-05-01,2378.0
1961-06-01,2388.0
1961-07-01,2397.0
1961-08-01,2406.0
1961-09-01,2413.0
1961-10-01,2419.0
1961-11-01,2418.0
1961-12-01,2428.0
1962-01-01,2433.0
1962-02-01,2439.0
1962-03-01,2443.0
1962-04-01,2445.0
1962-05-01,2454.0
1962-06-01,2465.0
1962-07-01,2468.0
1962-08-01,2470.0
1962-09-01,2470.0
1962-10-01,2469.0
1962-11-01,2477.0
1962-12-01,2433.0
1963-01-01,2480.0
1963-02-01,2484.0
1963-03-01,2484.0
1963-04-01,2485.0
1963-05-01,2482.0
1963-06-01,2473.0
1963-07-01,2470.0
1963-08-01,2469.0
1963-09-01,2475.0
1963-10-01,2476.0
1963-11-01,2470.0
1963-12-01,2445.0
1964-01-01,2474.0
1964-02-01,2473.0
1964-03-01,2472.0
1964-04-01,2472.0
1964-05-01,2473.0
1964-06-01,2446.0
1964-07-01,2441.0
1964-08-01,2452.0
1964-09-01,2454.0
1964-10-01,2461.0
1964-11-01,2478.0
1964-12-01,2467.0
1965-01-01,2473.0
1965-02-01,2471.0
1965-03-01,2474.0
1965-04-01,2476.0
1965-05-01,2479.0
1965-06-01,2470.0
1965-07-01,2486.0
1965-08-01,2499.0
1965-09-01,2511.0
1965-10-01,2521.0
1965-11-01,2533.0
1965-12-01,2548.0
1966-01-01,2563.0
1966-02-01,2590.0
1966-03-01,2616.0
1966-04-01,2640.0
1966-05-01,2663.0
1966-06-01,2688.0
1966-07-01,2705.0
1966-08-01,2721.0
1966-09-01,2742.0
1966-10-01,2767.0
1966-11-01,2791.0
1966-12-01,2799.0
1967-01-01,2814.0
1967-02-01,2823.0
1967-03-01,2835.0
1967-04-01,2839.0
1967-05-01,2848.0
1967-06-01,2860.0
1967-07-01,2866.0
1967-08-01,2872.0
1967-09-01,2869.0
1967-10-01,2873.0
1967-11-01,2872.0
1967-12-01,2876.0
1968-01-01,2871.0
1968-02-01,2865.0
1968-03-01,2859.0
1968-04-01,2861.0
1968-05-01,2861.0
1968-06-01,2908.0
1968-07-01,2909.0
1968-08-01,2883.0
1968-09-01,2868.0
1968-10-01,2864.0
1968-11-01,2873.0
1968-12-01,2849.0
1969-01-01,2910.0
1969-02-01,2903.0
1969-03-01,2889.0
1969-04-01,2889.0
1969-05-01,2883.0
1969-06-01,2928.0
1969-07-01,2909.0
1969-08-01,2899.0
1969-09-01,2896.0
1969-10-01,2889.0
1969-11-01,2876.0
1969-12-01,2861.0
1970-01-01,2861.0
1970-02-01,2849.0
1970-03-01,2921.0
1970-04-01,2996.0
1970-05-01,2919.0
1970-06-01,2867.0
1970-07-01,2838.0
1970-08-01,2824.0
1970-09-01,2829.0
1970-10-01,2827.0
1970-11-01,2830.0
1970-12-01,2824.0
1971-01-01,2823.0
1971-02-01,2816.0
1971-03-01,2806.0
1971-04-01,2810.0
1971-05-01,2808.0
1971-06-01,2827.0
1971-07-01,2837.0
1971-08-01,2849.0
1971-09-01,2848.0
1971-10-01,2845.0
1971-11-01,2839.0
1971-12-01,2824.0
1972-01-01,2839.0
1972-02-01,2831.0
1972-03-01,2823.0
1972-04-01,2822.0
1972-05-01,2817.0
1972-06-01,2814.0
1972-07-01,2787.0
1972-08-01,2806.0
1972-09-01,2807.0
1972-10-01,2811.0
1972-11-01,2812.0
1972-12-01,2812.0
1973-01-01,2805.0
1973-02-01,2796.0
1973-03-01,2798.0
1973-04-01,2796.0
1973-05-01,2800.0
1973-06-01,2790.0
1973-07-01,2761.0
1973-08-01,2782.0
1973-09-01,2788.0
1973-10-01,2791.0
1973-11-01,2801.0
1973-12-01,2813.0
1974-01-01,2817.0
1974-02-01,2833.0
1974-03-01,2838.0
1974-04-01,2846.0
1974-05-01,2853.0
1974-06-01,2859.0
1974-07-01,2869.0
1974-08-01,2874.0
1974-09-01,2876.0
1974-10-01,2875.0
1974-11-01,2875.0
1974-12-01,2874.0
1975-01-01,2873.0
1975-02-01,2873.0
1975-03-01,2875.0
1975-04-01,2874.0
1975-05-01,2875.0
1975-06-01,2871.0
1975-07-01,2885.0
1975-08-01,2886.0
1975-09-01,2891.0
1975-10-01,2893.0
1975-11-01,2893.0
1975-12-01,2897.0
1976-01-01,2887.0
1976-02-01,2882.0
1976-03-01,2876.0
1976-04-01,2872.0
1976-05-01,2866.0
1976-06-01,2850.0
1976-07-01,2854.0
1976-08-01,2855.0
1976-09-01,2855.0
1976-10-01,2853.0
1976-11-01,2864.0
1976-12-01,2850.0
1977-01-01,2851.0
1977-02-01,2851.0
1977-03-01,2854.0
1977-04-01,2858.0
1977-05-01,2857.0
1977-06-01,2853.0
1977-07-01,2852.0
1977-08-01,2860.0
1977-09-01,2865.0
1977-10-01,2867.0
1977-11-01,2872.0
1977-12-01,2870.0
1978-01-01,2881.0
1978-02-01,2881.0
1978-03-01,2879.0
1978-04-01,2881.0
1978-05-01,2881.0
1978-06-01,2886.0
1978-07-01,2892.0
1978-08-01,2902.0
1978-09-01,2908.0
1978-10-01,2915.0
1978-11-01,2919.0
1978-12-01,2899.0
1979-01-01,2916.0
1979-02-01,2912.0
1979-03-01,2905.0
1979-04-01,2883.0
1979-05-01,2880.0
1979-06-01,2882.0
1979-07-01,2884.0
1979-08-01,2925.0
1979-09-01,2884.0
1979-10-01,2887.0
1979-11-01,2886.0
1979-12-01,2886.0
1980-01-01,2886.0
1980-02-01,2907.0
1980-03-01,2960.0
1980-04-01,3258.0
1980-05-01,3088.0
1980-06-01,3076.0
1980-07-01,3023.0
1980-08-01,2980.0
1980-09-01,2936.0
1980-10-01,2958.0
1980-11-01,2960.0
1980-12-01,2961.0
1981-01-01,2961.0
1981-02-01,2946.0
1981-03-01,2932.0
1981-04-01,2915.0
1981-05-01,2904.0
1981-06-01,2908.0
1981-07-01,2912.0
1981-08-01,2921.0
1981-09-01,2920.0
1981-10-01,2920.0
1981-11-01,2913.0
1981-12-01,2907.0
1982-01-01,2902.0
1982-02-01,2894.0
1982-03-01,2890.0
1982-04-01,2872.0
1982-05-01,2855.0
1982-06-01,2873.0
1982-07-01,2876.0
1982-08-01,2885.0
1982-09-01,2876.0
1982-10-01,2890.0
1982-11-01,2896.0
1982-12-01,2896.0
1983-01-01,2921.0
1983-02-01,2910.0
1983-03-01,2908.0
1983-04-01,2902.0
1983-05-01,2904.0
1983-06-01,2905.0
1983-07-01,2908.0
1983-08-01,2913.0
1983-09-01,2935.0
1983-10-01,2928.0
1983-11-01,2920.0
1983-12-01,2923.0
1984-01-01,2920.0
1984-02-01,2922.0
1984-03-01,2926.0
1984-04-01,2931.0
1984-05-01,2937.0
1984-06-01,2941.0
1984-07-01,2945.0
1984-08-01,2950.0
1984-09-01,2955.0
1984-10-01,2957.0
1984-11-01,2962.0
1984-12-01,2964.0
1985-01-01,2964.0
1985-02-01,2961.0
1985-03-01,2973.0
1985-04-01,2996.0
1985-05-01,3008.0
1985-06-01,3019.0
1985-07-01,3029.0
1985-08-01,3037.0
1985-09-01,3038.0
1985-10-01,3039.0
1985-11-01,3046.0
1985-12-01,3051.0
1986-01-01,3055.0
1986-02-01,3056.0
1986-03-01,3055.0
1986-04-01,3052.0
1986-05-01,3043.0
1986-06-01,3027.0
1986-07-01,3023.0
1986-08-01,3035.0
1986-09-01,3043.0
1986-10-01,3045.0
1986-11-01,3046.0
1986-12-01,3051.0
1987-01-01,3060.0
1987-02-01,3064.0
1987-03-01,3072.0
1987-04-01,3073.0
1987-05-01,3078.0
1987-06-01,3085.0
1987-07-01,3089.0
1987-08-01,3094.0
1987-09-01,3100.0
1987-10-01,3111.0
1987-11-01,3122.0
1987-12-01,3126.0
1988-01-01,3125.0
1988-02-01,3119.0
1988-03-01,3113.0
1988-04-01,3107.0
1988-05-01,3100.0
1988-06-01,3099.0
1988-07-01,3104.0
1988-08-01,3119.0
1988-09-01,3141.0
1988-10-01,3153.0
1988-11-01,3159.0
1988-12-01,3156.0
1989-01-01,3158.0
1989-02-01,3159.0
1989-03-01,3152.0
1989-04-01,3142.0
1989-05-01,3143.0
1989-06-01,3137.0
1989-07-01,3135.0
1989-08-01,3133.0
1989-09-01,3127.0
1989-10-01,3124.0
1989-11-01,3121.0
1989-12-01,3098.0
1990-01-01,3103.0
1990-02-01,3109.0
1990-03-01,3194.0
1990-04-01,3259.0
1990-05-01,3435.0
1990-06-01,3332.0
1990-07-01,3274.0
1990-08-01,3174.0
1990-09-01,3136.0
1990-10-01,3114.0
1990-11-01,3108.0
