DATE,INDPRO
1987-01-01,57.6873
1987-02-01,58.4361
1987-03-01,58.5202
1987-04-01,58.8852
1987-05-01,59.2656
1987-06-01,59.5423
1987-07-01,59.9560
1987-08-01,60.4517
1987-09-01,60.6087
1987-10-01,61.4886
1987-11-01,61.8151
1987-12-01,62.1113
1988-01-01,62.1393
1988-02-01,62.4100
1988-03-01,62.5464
1988-04-01,62.8992
1988-05-01,62.8182
1988-06-01,62.9776
1988-07-01,63.0040
1988-08-01,63.2781
1988-09-01,63.1080
1988-10-01,63.4145
1988-11-01,63.5171
1988-12-01,63.8207
1989-01-01,64.0114
1989-02-01,63.7241
1989-03-01,63.8694
1989-04-01,63.9217
1989-05-01,63.4806
1989-06-01,63.5122
1989-07-01,62.9479
1989-08-01,63.5199
1989-09-01,63.2966
1989-10-01,63.2481
1989-11-01,63.4576
1989-12-01,63.8477
1990-01-01,63.4171
1990-02-01,64.0517
1990-03-01,64.3607
1990-04-01,64.2562
1990-05-01,64.3971
1990-06-01,64.6064
1990-07-01,64.5289
1990-08-01,64.7258
1990-09-01,64.8148
1990-10-01,64.3264
1990-11-01,63.5713
1990-12-01,63.1589
1991-01-01,62.8801
1991-02-01,62.4520
1991-03-01,62.1200
1991-04-01,62.2500
1991-05-01,62.8714
1991-06-01,63.4441
1991-07-01,63.5106
1991-08-01,63.5623
1991-09-01,64.1234
1991-10-01,64.0179
1991-11-01,63.9427
1991-12-01,63.6923
1992-01-01,63.3372
1992-02-01,63.7864
1992-03-01,64.3199
1992-04-01,64.8069
1992-05-01,65.0202
1992-06-01,65.0309
1992-07-01,65.6155
1992-08-01,65.2948
1992-09-01,65.4461
1992-10-01,65.9387
1992-11-01,66.2219
1992-12-01,66.2778
1993-01-01,66.5650
1993-02-01,66.8562
1993-03-01,66.7661
1993-04-01,66.9976
1993-05-01,66.7645
1993-06-01,66.8782
1993-07-01,67.0843
1993-08-01,67.0144
1993-09-01,67.3337
1993-10-01,67.8513
1993-11-01,68.1384
1993-12-01,68.5029
1994-01-01,68.7602
1994-02-01,68.7808
1994-03-01,69.4762
1994-04-01,69.8715
1994-05-01,70.2259
1994-06-01,70.6759
1994-07-01,70.7851
1994-08-01,71.2069
1994-09-01,71.4768
1994-10-01,72.0827
1994-11-01,72.5328
1994-12-01,73.2862
1995-01-01,73.4173
1995-02-01,73.3112
1995-03-01,73.4086
1995-04-01,73.3603
1995-05-01,73.6079
1995-06-01,73.8595
1995-07-01,73.5675
1995-08-01,74.4969
1995-09-01,74.7941
1995-10-01,74.7015
1995-11-01,74.8864
1995-12-01,75.1739
1996-01-01,74.6833
1996-02-01,75.8433
1996-03-01,75.7631
1996-04-01,76.4596
1996-05-01,77.0169
1996-06-01,77.6676
1996-07-01,77.5653
1996-08-01,78.0121
1996-09-01,78.5488
1996-10-01,78.5060
1996-11-01,79.1955
1996-12-01,79.7144
1997-01-01,79.8239
1997-02-01,80.7816
1997-03-01,81.3388
1997-04-01,81.3611
1997-05-01,81.8326
1997-06-01,82.2309
1997-07-01,82.8500
1997-08-01,83.7172
1997-09-01,84.4629
1997-10-01,85.1968
