DATE,TERMCBAUTO48NS
12/1/02,.
1/1/03,.
2/1/03,7.11
3/1/03,.
4/1/03,.
5/1/03,7.05
6/1/03,.
7/1/03,.
8/1/03,6.76
9/1/03,.
10/1/03,.
11/1/03,6.82
12/1/03,.
1/1/04,.
2/1/04,6.72
3/1/04,.
4/1/04,.
5/1/04,6.43
6/1/04,.
7/1/04,.
8/1/04,6.55
9/1/04,.
10/1/04,.
11/1/04,6.71
12/1/04,.
1/1/05,.
2/1/05,6.86
3/1/05,.
4/1/05,.
5/1/05,6.92
6/1/05,.
7/1/05,.
8/1/05,7.08
9/1/05,.
10/1/05,.
11/1/05,7.43
12/1/05,.
1/1/06,.
2/1/06,7.39
3/1/06,.
4/1/06,.
5/1/06,7.6
6/1/06,.
7/1/06,.
8/1/06,7.95
9/1/06,.
10/1/06,.
11/1/06,7.92
12/1/06,.
1/1/07,.
2/1/07,7.74
3/1/07,.
4/1/07,.
5/1/07,7.92
6/1/07,.
7/1/07,.
8/1/07,7.82
9/1/07,.
10/1/07,.
11/1/07,7.59
12/1/07,.
1/1/08,.
2/1/08,7.27
3/1/08,.
4/1/08,.
5/1/08,6.84
6/1/08,.
7/1/08,.
8/1/08,6.92
9/1/08,.
10/1/08,.
11/1/08,7.06
12/1/08,.
1/1/09,.
2/1/09,6.92
3/1/09,.
4/1/09,.
5/1/09,6.79
6/1/09,.
7/1/09,.
8/1/09,6.61
9/1/09,.
10/1/09,.
11/1/09,6.55
12/1/09,.
1/1/10,.
2/1/10,6.45
3/1/10,.
4/1/10,.
5/1/10,6.26
6/1/10,.
7/1/10,.
8/1/10,6.24
9/1/10,.
10/1/10,.
11/1/10,5.87
12/1/10,.
1/1/11,.
2/1/11,5.85
3/1/11,.
4/1/11,.
5/1/11,5.79
6/1/11,.
7/1/11,.
8/1/11,5.89
9/1/11,.
10/1/11,.
11/1/11,5.4
12/1/11,.
1/1/12,.
2/1/12,5.07
3/1/12,.
4/1/12,.
5/1/12,4.88
6/1/12,.
7/1/12,.
8/1/12,4.88
9/1/12,.
10/1/12,.
11/1/12,4.82
12/1/12,.
1/1/13,.
2/1/13,4.69
3/1/13,.
4/1/13,.
5/1/13,4.13
6/1/13,.
7/1/13,.
8/1/13,4.46
9/1/13,.
10/1/13,.
11/1/13,4.42
12/1/13,.
1/1/14,.
2/1/14,4.23
3/1/14,.
4/1/14,.
5/1/14,4.5
6/1/14,.
7/1/14,.
8/1/14,4.16
9/1/14,.
10/1/14,.
11/1/14,4.06
12/1/14,.
1/1/15,.
2/1/15,4.53
3/1/15,.
4/1/15,.
5/1/15,4.15
6/1/15,.
7/1/15,.
8/1/15,4.09
9/1/15,.
10/1/15,.
11/1/15,4
12/1/15,.
1/1/16,.
2/1/16,4.17
3/1/16,.
4/1/16,.
5/1/16,4.33
6/1/16,.
7/1/16,.
8/1/16,4.25
9/1/16,.
10/1/16,.
11/1/16,4.45
12/1/16,.
1/1/17,.
2/1/17,4.52
3/1/17,.
4/1/17,.
5/1/17,4.67
6/1/17,.
7/1/17,.
8/1/17,4.42
9/1/17,.
10/1/17,.
11/1/17,4.81
12/1/17,.
1/1/18,.
2/1/18,4.74
3/1/18,.
4/1/18,.
5/1/18,5.05
