DATE,LNS13023622
1981-02-01,51.6
1981-03-01,49.9
1981-04-01,50.4
1981-05-01,50.1
1981-06-01,51.2
1981-07-01,50.2
1981-08-01,51.9
1981-09-01,52.4
1981-10-01,51.8
1981-11-01,52.7
1981-12-01,55.7
1982-01-01,57.3
1982-02-01,54.7
1982-03-01,57.1
1982-04-01,57.7
1982-05-01,57.2
1982-06-01,59
1982-07-01,58.4
1982-08-01,58.5
1982-09-01,60.5
1982-10-01,62.6
1982-11-01,61.4
1982-12-01,60
1983-01-01,59.8
1983-02-01,60.1
1983-03-01,60.2
1983-04-01,59.9
1983-05-01,60.6
1983-06-01,58.3
1983-07-01,58.3
1983-08-01,57.8
1983-09-01,57.1
1983-10-01,56
1983-11-01,55
1983-12-01,54.6
1984-01-01,53.6
1984-02-01,54
1984-03-01,52.6
1984-04-01,51.5
1984-05-01,51.4
1984-06-01,51.7
1984-07-01,52.2
1984-08-01,49.9
1984-09-01,50.1
1984-10-01,51.5
1984-11-01,50.6
1984-12-01,50.7
1985-01-01,50.8
1985-02-01,50.9
1985-03-01,49.4
1985-04-01,50.2
1985-05-01,47.2
1985-06-01,49
1985-07-01,50.5
1985-08-01,51
1985-09-01,50
1985-10-01,49.2
1985-11-01,50.3
1985-12-01,49
1986-01-01,48.2
1986-02-01,49.1
1986-03-01,49.9
1986-04-01,47.9
1986-05-01,49.9
1986-06-01,50.3
1986-07-01,48.9
1986-08-01,48.2
1986-09-01,49
1986-10-01,49.2
1986-11-01,48.1
1986-12-01,49.1
1987-01-01,49.7
1987-02-01,48.5
1987-03-01,48.2
1987-04-01,49
1987-05-01,47.6
1987-06-01,48.6
1987-07-01,48.4
1987-08-01,47.1
1987-09-01,46.8
1987-10-01,48.6
1987-11-01,46.7
1987-12-01,45.5
1988-01-01,45.2
1988-02-01,45.8
1988-03-01,45.3
1988-04-01,43.8
1988-05-01,47.5
1988-06-01,47.4
1988-07-01,46.8
1988-08-01,46.2
1988-09-01,47
1988-10-01,46.4
1988-11-01,46
1988-12-01,46.5
1989-01-01,46.2
1989-02-01,44.7
1989-03-01,45.7
1989-04-01,44.8
1989-05-01,43.2
1989-06-01,42.7
1989-07-01,45.3
1989-08-01,46.4
1989-09-01,44.8
1989-10-01,45.9
1989-11-01,46.4
1989-12-01,46.6
1990-01-01,46.7
1990-02-01,45.3
1990-03-01,46.2
1990-04-01,46.5
1990-05-01,47.3
1990-06-01,47.8
1990-07-01,47.7
